time,speed,gradient
1500.12,20.3,0.185348
1503.81,20.3,-0.815092
1504.9,20,-0
1508.23,20.3,0.0457197
1511.37,20.3,-0
1514.25,20.3,0.327401
1517.18,20.3,0
1520.56,20.3,0.191185
1524.01,20.3,0
1527.46,20.3,-0
1528.98,20.3,0.0255047
1531.83,19.7,0
1534.89,19.7,0.881257
1537.11,19.7,-0
1540.34,19.7,0.154537
1544.61,19.7,-0.0487419
1549.38,19.7,0
1550.81,20.6,-0
1551.28,20.3,-0.5434
1569.12,16.9,-0.0184658
1570.87,16.9,-0
1575.2,16.9,0.0204983
1584.21,16.9,0.0403312
1588.19,7.2,-0
1590.49,19.7,0
1591.18,19.7,-0.244237
1595.41,19.7,0
1596.08,19.7,-0
1596.74,19.7,-0
1598.88,19.7,0.109153
1602.19,19.7,0
1604.32,19.7,-0
1606.9,19.7,-0.0224678
1608.52,19.7,-0
1610.98,19.7,0.0421435
1614.96,19.7,0
1619.07,19.7,1.31679
1622.34,19.7,-0
1625.46,19.7,1.11332
1635.17,19.7,-0.00306978
1643.88,19.7,-0.00497539
1649.32,19.7,0.0792729
1654.85,19.7,-1.06919
1658.87,19.7,-0
1660.59,23.9,-0.163872
1664.38,23.9,0
1667.72,23.9,-0.385377
1670.84,23.9,0.942815
1675.23,23.9,-0.298732
1684.67,23.9,0
1687.64,23.9,0.0135738
1689.17,23.9,-0.119313
1689.68,23.9,-0
1690.7,23.9,0
1694.15,23.9,-0.0861421
1695.79,23.9,-0
1697.44,23.9,0
1698.92,23.9,-0.221317
1700.37,23.9,-0
1702.67,23.9,-0.136403
1704.68,23.9,0.0843065
1706.63,23.9,-0
1708.87,23.9,0.363392
1711.5,23.9,0
1713.16,23.9,-0
1714.43,23.6,-0.0210508
1715.95,23.6,0
1716.59,23.6,-0
1719.35,23.6,-0.011928
1721.44,23.6,-0
1723.15,23.6,-0.0325975
1726.41,23.6,0.05955
1729.21,23.6,-0.407104
1733,23.6,0
1734.29,23.9,-0
1736.8,23.9,0.030603
1738.93,23.9,-0
1741.39,23.9,-0.0767727
1744.79,23.9,-0.297561
1748.47,23.9,0.509591
1751.78,23.9,0.0658378
1755.84,23.9,0.120295
1758.85,23.9,0.164508
1765.39,23.9,0.126104
1773.1,23.6,0
1775.96,23.6,0.0628541
1778.49,23.6,-0.329326
1780.57,23.6,-0
1782.43,23.6,0.275806
1785.42,23.3,0.227645
1788.78,23.3,0
1790.29,23.3,-0
1792.89,23.3,-0.0235247
1797.13,23.3,0.0679578
1800.3,23.3,-0
1803.44,23.3,-1.4486
1806.36,23.6,0.949136
1809.14,23.6,0.269168
1812.47,23.6,0.693987
1821.52,23.6,0
